House_Area,Bedrooms,Bathrooms,House_Age,House_Price,Price_Category
435.9,8,5,9,1636468000,1
43.2,1,1,17,213215000,0
274.9,6,4,15,1054431000,0
232.0,5,3,11,911720000,0
142.2,3,3,21,647442000,0
95.1,1,1,18,398066000,0
195.3,5,3,9,848562000,0
473.7,8,6,20,1774346000,1
188.7,4,3,16,779276000,0
278.6,6,5,8,1127995000,1
363.4,8,5,13,1427056000,1
207.3,5,4,20,864796000,0
487.0,8,6,1,1850535000,1
482.7,8,6,14,1904825000,1
155.8,3,2,13,608354000,0
268.7,6,4,29,1070666000,0
178.4,5,3,24,789382000,0
171.0,3,2,17,702624000,0
57.0,1,1,18,167999000,0
320.4,7,5,15,1296300000,1
271.2,6,4,22,1103122000,1
63.7,2,2,23,322974000,0
168.2,4,3,19,633142000,0
457.8,8,5,12,1710393000,1
150.2,4,2,16,654395000,0
106.7,3,2,20,410161000,0
265.1,6,4,3,1069834000,0
493.4,8,5,18,1912794000,1
151.3,5,4,23,659009000,0
349.2,8,5,10,1363735000,1
390.3,8,5,27,1454467000,1
149.3,4,2,21,611732000,0
375.0,8,5,7,1425008000,1
209.2,3,2,25,751310000,0
330.9,8,4,18,1314875000,1
331.4,7,5,18,1363942000,1
286.5,6,4,14,1159840000,1
81.5,2,3,26,323667000,0
424.2,8,6,11,1709469000,1
187.6,5,3,24,739842000,0
125.8,2,1,8,433953000,0
58.8,2,2,20,265418000,0
311.8,7,5,28,1287478000,1
351.7,8,4,10,1389876000,1
47.6,1,1,19,199883000,0
275.6,5,3,14,1128595000,1
144.2,4,3,12,556029000,0
336.8,7,5,1,1298908000,1
120.2,3,2,20,414927000,0
357.8,8,5,16,1428729000,1
217.9,6,3,18,887772000,0
470.9,8,6,11,1875303000,1
103.3,2,1,22,400516000,0
196.9,4,2,27,718893000,0
92.2,2,1,21,356121000,0
465.4,8,6,8,1799577000,1
443.6,8,5,10,1623291000,1
158.7,3,2,25,722805000,0
343.6,7,4,25,1331914000,1
415.9,8,5,9,1621330000,1
295.4,8,5,17,1237962000,1
283.6,6,4,19,1142443000,1
151.3,3,2,14,592835000,0
82.8,2,1,23,293554000,0
452.7,8,5,2,1770615000,1
454.2,8,5,1,1767797000,1
331.2,8,5,18,1286395000,1
196.0,5,2,17,836057000,0
200.6,5,3,21,814121000,0
373.9,8,6,14,1522322000,1
452.7,8,4,5,1778276000,1
448.1,8,5,12,1709905000,1
398.7,8,5,5,1579103000,1
335.3,7,5,25,1340411000,1
78.7,1,1,13,278221000,0
114.3,3,2,20,471192000,0
453.3,8,4,5,1723210000,1
319.0,7,5,20,1218777000,1
44.2,2,2,21,328734000,0
86.7,3,2,19,319112000,0
345.2,8,5,21,1303225000,1
42.3,2,1,24,249500000,0
114.0,3,2,25,489897000,0
292.4,7,4,10,1128512000,1
358.3,7,5,5,1444888000,1
339.9,7,5,16,1402733000,1
143.2,3,2,19,561878000,0
367.6,8,5,19,1554267000,1
149.1,3,3,20,524537000,0
189.7,4,3,21,779262000,0
383.4,8,5,3,1572374000,1
338.8,8,6,29,1387270000,1
430.6,8,5,12,1643724000,1
342.5,7,4,20,1301930000,1
301.4,7,4,11,1221467000,1
83.1,1,1,25,337629000,0
209.1,4,3,10,859231000,0
162.0,3,1,24,638203000,0
152.2,3,1,18,526191000,0
487.6,8,4,11,1805070000,1
220.8,4,3,24,799259000,0
450.3,8,5,4,1714585000,1
330.3,7,4,11,1339645000,1
405.6,8,5,17,1567779000,1
271.2,7,4,32,1180149000,1
305.4,7,5,15,1236983000,1
266.6,5,3,22,1012806000,0
129.8,3,2,21,521138000,0
372.3,8,5,28,1405659000,1
169.2,4,3,8,705837000,0
51.2,2,2,24,291590000,0
336.9,6,4,4,1316209000,1
121.5,3,2,4,488094000,0
472.6,8,5,14,1741691000,1
478.8,8,5,12,1786901000,1
460.8,8,5,10,1756884000,1
210.3,4,2,18,851671000,0
47.1,1,1,40,95398000,0
467.0,8,5,10,1759008000,1
237.0,6,3,22,939894000,0
484.7,8,5,7,1753523000,1
483.3,8,5,13,1782048000,1
432.4,8,4,11,1608085000,1
175.4,3,1,17,612461000,0
217.1,4,3,32,822355000,0
431.5,8,5,21,1630575000,1
185.8,3,2,21,670572000,0
118.0,3,2,5,529858000,0
296.1,7,4,14,1256058000,1
470.6,8,6,30,1840687000,1
360.2,8,6,13,1361115000,1
302.2,6,3,24,1164008000,1
84.7,2,2,33,322029000,0
322.9,8,5,17,1305262000,1
495.4,8,5,5,1856357000,1
104.4,2,1,5,432371000,0
278.4,6,3,22,1072693000,0
443.6,8,5,7,1678467000,1
380.8,8,5,15,1447223000,1
360.6,8,5,6,1420729000,1
363.1,7,4,13,1405462000,1
205.4,4,2,19,807235000,0
175.1,4,3,22,737721000,0
412.3,8,5,5,1586121000,1
412.7,8,5,22,1588413000,1
438.9,8,5,8,1730793000,1
460.1,8,6,1,1843772000,1
275.2,5,3,16,1046993000,0
270.7,7,5,18,1101298000,1
407.2,8,6,14,1604641000,1
339.0,8,5,25,1282063000,1
362.9,8,5,13,1425568000,1
406.1,8,5,13,1606026000,1
449.4,8,6,4,1779968000,1
195.5,5,3,25,764438000,0
212.8,4,2,20,811757000,0
83.2,2,1,20,292131000,0
306.0,6,5,3,1267857000,1
56.5,1,1,33,196298000,0
254.2,6,3,9,1002022000,0
289.6,6,4,13,1125442000,1
171.8,4,2,23,661930000,0
311.8,6,4,8,1202606000,1
54.0,1,1,13,261416000,0
57.2,1,1,8,234252000,0
418.4,8,6,18,1695563000,1
205.7,4,3,15,877174000,0
98.4,3,2,40,337761000,0
280.2,6,4,10,1120777000,1
394.2,8,5,7,1517160000,1
139.3,3,1,17,518061000,0
326.5,7,4,17,1359909000,1
79.3,3,2,19,344919000,0
63.8,1,1,27,251370000,0
284.4,7,4,10,1173439000,1
288.7,7,4,7,1123812000,1
333.2,7,4,3,1280761000,1
374.0,8,5,1,1439529000,1
488.9,8,5,7,1809611000,1
277.5,6,4,15,970749000,0
188.6,4,3,15,781026000,0
405.8,8,5,22,1645999000,1
164.6,4,2,29,636372000,0
241.9,6,4,16,919348000,0
76.1,1,1,10,279595000,0
51.7,2,1,20,207791000,0
482.8,8,5,7,1784169000,1
424.6,8,5,8,1680428000,1
360.1,8,6,10,1489782000,1
228.1,4,3,14,832925000,0
119.7,2,2,19,502669000,0
112.0,2,1,17,496107000,0
155.1,3,2,22,680935000,0
292.6,6,3,19,1246255000,1
368.7,8,4,8,1400250000,1
343.7,8,5,24,1477930000,1
168.8,5,4,13,721221000,0
479.2,8,6,1,1825779000,1
379.4,8,5,17,1493798000,1
295.0,5,2,11,1074807000,0
321.4,7,4,18,1269437000,1
233.0,6,4,2,923197000,0
154.0,5,3,30,623056000,0
203.7,4,2,24,822691000,0
388.6,8,5,3,1533952000,1
46.6,1,1,13,214492000,0
93.4,2,2,34,377267000,0
61.2,1,1,18,297520000,0
58.7,2,1,17,182355000,0
433.5,8,5,1,1710504000,1
363.7,8,6,12,1448774000,1
258.1,6,4,16,1042419000,0
85.0,2,2,28,388698000,0
266.1,6,4,8,1022782000,0
257.8,6,3,7,984391000,0
119.7,3,2,25,388946000,0
239.6,5,4,25,915008000,0
223.3,5,4,8,981429000,0
323.3,8,6,23,1304134000,1
332.1,8,5,16,1269414000,1
60.8,1,1,31,195704000,0
212.3,5,3,18,777406000,0
327.9,7,4,1,1255647000,1
271.4,7,5,16,1134977000,1
434.0,8,5,20,1594976000,1
343.0,8,6,9,1450669000,1
114.9,3,2,19,469480000,0
72.5,1,1,22,276852000,0
335.5,7,4,1,1318073000,1
52.2,1,1,35,216818000,0
309.5,7,4,10,1264642000,1
472.5,8,4,15,1774077000,1
304.7,8,5,16,1267456000,1
218.6,5,4,28,856976000,0
335.9,8,5,18,1362279000,1
250.8,4,2,16,916356000,0
291.0,6,4,10,1152300000,1
473.1,8,5,17,1766561000,1
217.6,4,3,6,846745000,0
482.1,8,6,16,1800710000,1
456.5,8,5,4,1772846000,1
130.1,2,2,30,540297000,0
71.9,2,1,24,337780000,0
86.4,1,1,27,250935000,0
48.4,1,1,24,249894000,0
83.4,3,2,10,375563000,0
354.2,7,4,9,1401473000,1
72.7,1,1,28,220860000,0
186.7,4,3,21,744829000,0
428.6,8,5,21,1642638000,1
50.7,2,1,26,146433000,0
414.7,8,6,6,1663412000,1
169.7,4,3,15,756607000,0
94.4,2,2,23,373221000,0
360.5,8,6,1,1533808000,1
329.3,8,5,27,1290224000,1
443.6,8,5,15,1726751000,1
378.1,8,6,23,1385084000,1
409.6,8,5,2,1714565000,1
169.7,5,3,29,753336000,0
121.6,3,2,37,445312000,0
385.3,8,5,5,1433216000,1
411.1,8,6,19,1611481000,1
495.6,8,5,11,1797943000,1
229.8,5,2,8,918378000,0
211.1,5,3,22,851040000,0
397.1,8,6,19,1511357000,1
196.8,5,4,15,873204000,0
468.1,8,5,20,1793171000,1
434.9,8,5,1,1732592000,1
237.3,5,3,8,944759000,0
385.4,7,5,15,1420581000,1
387.1,8,5,14,1553724000,1
87.4,1,2,17,340513000,0
455.2,8,5,18,1657100000,1
272.4,6,4,21,1131522000,1
420.2,8,5,19,1700113000,1
187.2,3,2,19,702184000,0
451.9,8,5,16,1810240000,1
219.0,6,4,16,913909000,0
45.0,1,1,38,135879000,0
456.5,8,5,6,1719429000,1
82.0,2,2,37,387069000,0
186.9,5,3,20,723974000,0
477.0,8,6,2,1876487000,1
477.3,8,5,21,1759198000,1
303.8,7,5,17,1198446000,1
330.6,7,5,22,1341281000,1
246.3,5,2,27,896058000,0
174.9,4,4,22,702464000,0
191.2,5,4,15,855816000,0
349.4,8,5,22,1444963000,1
386.1,7,4,14,1495531000,1
404.1,8,5,18,1526655000,1
403.2,8,5,1,1564263000,1
82.0,2,1,26,316996000,0
267.4,6,4,13,1085122000,1
66.5,2,2,35,223346000,0
292.8,7,5,21,1208497000,1
243.1,5,4,20,964768000,0
448.3,8,5,16,1624353000,1
201.4,4,3,12,761678000,0
93.9,1,1,34,294794000,0
105.8,2,3,36,410281000,0
390.3,8,5,17,1598978000,1
324.4,8,5,27,1293798000,1
86.5,2,1,19,303965000,0
78.7,2,2,17,352768000,0
362.4,8,5,15,1412836000,1
73.5,1,2,26,304814000,0
418.1,8,5,10,1643046000,1
364.9,8,4,18,1463095000,1
77.4,2,1,25,299587000,0
79.0,3,1,16,415553000,0
493.9,8,6,15,1912341000,1
212.2,5,2,25,776205000,0
210.5,5,3,20,934044000,0
413.9,8,4,21,1574195000,1
475.7,8,5,3,1777659000,1
493.6,8,6,14,1946901000,1
386.6,8,5,6,1617620000,1
213.1,4,2,11,819434000,0
78.4,2,1,18,295216000,0
397.5,8,5,7,1549243000,1
296.9,6,4,13,1197243000,1
235.1,4,2,17,936824000,0
456.9,8,5,18,1750752000,1
91.2,2,1,20,359418000,0
266.6,5,3,6,1109531000,1
45.2,1,1,32,151562000,0
255.6,6,4,12,1081311000,0
65.9,1,1,23,236917000,0
94.7,2,1,25,375436000,0
94.1,2,1,24,351010000,0
338.6,7,5,23,1316007000,1
383.2,8,5,17,1474258000,1
308.3,7,4,10,1286078000,1
482.6,8,5,26,1758338000,1
212.4,3,2,20,749370000,0
171.4,4,2,19,766925000,0
439.6,8,5,19,1711723000,1
142.9,3,3,23,468950000,0
483.1,8,4,14,1769483000,1
45.6,2,1,40,87380000,0
486.1,8,6,9,1815739000,1
59.9,1,1,21,93447000,0
449.9,8,5,13,1706515000,1
282.7,8,5,24,1104253000,1
496.8,8,5,1,1889456000,1
73.9,2,2,9,270350000,0
294.8,6,4,12,1164091000,1
485.9,8,6,1,1855209000,1
280.6,6,3,14,1156508000,1
329.5,8,5,19,1378911000,1
360.0,8,4,8,1448341000,1
249.1,6,3,8,985422000,0
328.7,8,6,16,1430182000,1
308.8,7,5,22,1155273000,1
454.5,8,5,1,1688240000,1
60.9,1,1,29,218110000,0
169.2,3,2,26,733872000,0
477.2,8,5,18,1780935000,1
449.5,8,6,21,1709154000,1
249.6,5,2,33,846834000,0
325.3,7,5,13,1338527000,1
167.6,3,2,21,680213000,0
126.5,4,2,18,565308000,0
253.3,6,4,18,987245000,0
202.5,4,4,30,761198000,0
308.5,7,4,7,1174009000,1
75.8,2,1,17,315334000,0
488.2,8,5,21,1770622000,1
493.7,8,5,18,1789856000,1
361.2,8,5,12,1411774000,1
286.6,6,4,23,1090108000,1
182.4,3,1,22,636471000,0
414.3,8,5,24,1597750000,1
355.0,8,6,15,1430557000,1
114.8,3,2,29,439393000,0
459.0,8,6,30,1738036000,1
418.4,8,5,17,1559261000,1
476.9,8,6,12,1827818000,1
373.8,8,5,19,1463937000,1
322.2,7,4,13,1196403000,1
232.4,5,3,35,919486000,0
469.1,8,5,13,1734455000,1
438.4,8,5,11,1683944000,1
60.8,1,1,17,297959000,0
52.1,1,1,31,231375000,0
213.2,6,3,25,852785000,0
412.9,8,6,10,1605968000,1
494.1,8,5,15,1892758000,1
109.2,3,2,11,500801000,0
313.3,7,4,17,1199734000,1
215.2,5,3,22,809870000,0
486.2,8,5,23,1715584000,1
427.4,8,5,7,1659611000,1
425.6,8,5,4,1649199000,1
255.6,7,4,11,1106049000,1
230.8,5,3,9,937717000,0
165.8,3,2,30,673600000,0
65.9,1,1,34,196499000,0
437.8,8,5,15,1721177000,1
413.9,8,6,22,1577679000,1
499.9,8,4,12,1887672000,1
498.5,8,6,10,1830556000,1
295.5,6,4,14,1169181000,1
393.7,8,6,12,1467529000,1
474.6,8,5,1,1803699000,1
430.8,8,6,15,1689376000,1
153.8,4,2,20,589716000,0
247.3,6,3,23,917090000,0
99.4,2,2,23,435155000,0
478.9,8,5,10,1806824000,1
318.8,6,4,10,1219129000,1
145.2,4,3,21,607525000,0
349.0,8,5,20,1494450000,1
324.3,8,5,8,1372668000,1
204.8,4,2,20,828676000,0
92.2,1,1,24,351640000,0
348.9,8,5,10,1402972000,1
279.3,6,3,13,978936000,0
395.3,8,5,15,1503406000,1
279.3,6,5,9,1117134000,1
432.0,8,6,15,1589030000,1
293.9,6,4,10,1109396000,1
298.0,8,5,24,1115462000,1
443.3,8,5,29,1657835000,1
225.6,5,4,13,955764000,0
101.6,2,1,26,425925000,0
53.2,2,1,18,255905000,0
387.4,8,6,21,1475327000,1
325.3,7,4,7,1199017000,1
363.9,8,6,18,1370421000,1
138.0,2,1,15,457496000,0
102.7,3,3,21,411641000,0
46.7,1,1,16,195251000,0
201.3,4,2,25,709523000,0
311.4,6,3,10,1210734000,1
220.4,3,2,23,791828000,0
241.2,5,3,16,941315000,0
455.9,8,5,11,1787191000,1
200.2,5,3,20,748530000,0
276.4,6,4,12,1120322000,1
400.5,8,5,15,1549971000,1
222.4,5,3,29,839673000,0
326.2,8,5,10,1362677000,1
436.7,8,5,21,1693996000,1
476.8,8,6,22,1760168000,1
107.7,3,2,16,447443000,0
466.2,8,6,1,1823495000,1
266.4,6,4,20,1041195000,0
158.8,4,3,17,683486000,0
251.2,6,4,31,995494000,0
490.8,8,6,11,1952025000,1
266.6,6,4,12,1001257000,0
191.2,4,2,12,743330000,0
331.4,7,5,23,1254597000,1
150.5,4,3,17,657785000,0
74.9,1,1,23,205907000,0
99.3,1,1,29,360344000,0
98.9,2,2,19,375128000,0
109.9,2,2,22,399643000,0
103.9,2,1,22,326388000,0
334.8,8,5,20,1309432000,1
123.7,3,1,26,513643000,0
199.0,5,2,18,778667000,0
452.5,8,5,13,1749246000,1
258.0,5,3,15,1071509000,0
347.1,8,5,5,1411589000,1
119.3,2,1,23,413614000,0
128.5,3,2,35,505226000,0
58.8,2,2,17,254667000,0
117.7,3,2,16,464941000,0
168.2,4,2,14,602845000,0
121.4,2,2,27,501162000,0
80.8,1,1,26,274190000,0
95.5,2,2,21,396794000,0
252.0,5,3,11,938782000,0
134.9,4,2,22,568298000,0
207.6,5,3,8,815033000,0
271.6,5,3,18,1027743000,0
357.6,8,5,21,1440822000,1
58.1,2,1,15,294504000,0
407.7,8,4,3,1574649000,1
328.8,8,5,27,1217594000,1
77.6,1,1,19,429996000,0
441.8,8,5,20,1751324000,1
463.6,8,5,11,1793040000,1
68.1,1,1,22,225026000,0
167.4,4,2,23,645568000,0
410.9,8,4,7,1553426000,1
384.2,8,5,15,1555314000,1
124.9,3,2,19,516493000,0
136.3,3,1,12,497873000,0
210.4,4,3,21,793096000,0
262.9,7,5,16,1140733000,1
324.4,6,4,15,1321084000,1
209.7,5,3,11,918815000,0
252.8,7,5,29,1066026000,0
383.8,8,5,20,1475792000,1
56.9,1,1,30,80000000,0
156.1,3,2,18,619892000,0
368.1,8,5,2,1472838000,1
451.8,8,5,26,1699059000,1
275.4,5,3,17,1050705000,0
284.8,7,5,12,1108678000,1
89.3,1,2,25,367843000,0
245.8,5,3,26,964010000,0
285.0,6,4,17,1149705000,1
151.5,4,3,30,650396000,0
163.9,3,2,28,638662000,0
213.6,5,3,11,844069000,0
49.2,3,3,19,281252000,0
188.2,3,1,26,675341000,0
137.3,3,1,2,561206000,0
190.6,4,2,19,777840000,0
95.1,2,2,12,434285000,0
449.6,8,4,9,1791200000,1
313.1,7,3,14,1310211000,1
352.4,8,5,12,1406264000,1
403.0,8,5,10,1395951000,1
269.3,6,3,10,1116417000,1
80.0,2,1,39,256683000,0
287.1,5,3,30,1023653000,0
309.9,6,4,8,1198750000,1
382.9,8,5,25,1454181000,1
238.6,6,4,15,1002072000,0
98.7,2,1,23,302665000,0
170.5,4,2,20,618103000,0
207.0,5,3,14,850842000,0
337.1,7,4,22,1321752000,1
302.6,7,4,17,1222189000,1
203.8,5,4,16,807743000,0
493.8,8,4,2,1809138000,1
318.7,7,5,10,1258041000,1
149.1,3,2,9,612914000,0
86.8,2,2,23,423606000,0
110.3,2,1,13,337825000,0
153.1,5,3,19,642987000,0
113.9,2,1,31,345509000,0
125.8,3,1,30,389209000,0
171.1,3,2,20,694033000,0
119.8,3,2,21,508868000,0
452.5,8,6,25,1739225000,1
76.9,1,1,26,320526000,0
281.3,7,5,15,1129573000,1
228.8,6,5,8,959691000,0
491.9,8,5,14,1943438000,1
91.5,1,1,28,310704000,0
223.0,6,4,14,959681000,0
486.0,8,4,13,1806487000,1
438.1,8,6,10,1619748000,1
415.9,8,5,12,1513872000,1
158.6,4,3,3,658466000,0
118.6,2,1,20,490045000,0
347.6,8,5,22,1402793000,1
467.5,8,6,7,1844133000,1
296.1,6,4,17,1110103000,1
302.9,6,5,11,1282994000,1
168.8,4,3,23,633740000,0
394.0,8,4,12,1523377000,1
126.0,3,2,15,515734000,0
188.9,6,4,29,779656000,0
235.7,4,3,25,947477000,0
273.5,7,5,13,1098470000,1
151.5,3,1,24,497068000,0
92.8,1,1,26,330860000,0
320.9,6,5,20,1231888000,1
172.8,4,3,8,871942000,0
307.4,7,5,23,1249123000,1
111.0,2,2,18,425780000,0
261.3,7,5,15,1039635000,0
285.0,5,3,35,958387000,0
63.8,1,1,25,193025000,0
194.8,3,2,17,737532000,0
101.8,3,2,7,518990000,0
69.2,2,1,33,308916000,0
495.4,8,6,1,1914589000,1
188.3,2,1,13,665017000,0
412.5,8,5,11,1609097000,1
157.1,4,3,30,602381000,0
353.5,8,5,20,1467526000,1
389.7,8,6,13,1533526000,1
314.0,6,4,18,1205915000,1
256.9,6,4,13,937368000,0
229.4,6,4,19,928285000,0
200.5,3,2,20,782242000,0
467.6,8,4,18,1689272000,1
422.1,8,5,20,1575938000,1
483.9,8,6,15,1875152000,1
97.2,2,1,20,307590000,0
376.2,8,5,19,1512441000,1
471.6,8,5,11,1762174000,1
123.4,3,1,14,470394000,0
70.6,1,1,20,220345000,0
380.9,8,5,15,1504892000,1
304.3,7,4,23,1297454000,1
427.2,8,5,12,1677207000,1
104.3,3,2,14,409867000,0
405.8,8,5,14,1620663000,1
132.7,2,2,22,491389000,0
115.3,2,1,23,487812000,0
115.6,3,3,28,515220000,0
414.7,8,6,20,1475599000,1
346.0,7,4,11,1299016000,1
280.6,7,5,13,1195417000,1
205.1,5,3,12,840145000,0
443.5,8,5,17,1638131000,1
220.5,4,3,29,802088000,0
415.6,8,6,11,1543139000,1
242.0,7,5,16,1019423000,0
213.4,5,3,29,925361000,0
252.8,6,3,21,1022182000,0
178.6,3,2,23,767089000,0
383.9,8,6,6,1577188000,1
271.3,6,3,22,1089397000,1
146.8,4,2,14,691594000,0
453.8,8,5,4,1760137000,1
216.6,5,3,16,853695000,0
290.0,5,3,13,1149470000,1
457.0,8,5,10,1806823000,1
327.1,7,4,6,1272122000,1
93.8,2,1,29,312689000,0
472.3,8,6,19,1800609000,1
328.7,8,5,2,1384257000,1
194.1,6,3,26,824034000,0
104.1,3,2,16,380032000,0
405.3,8,6,19,1665982000,1
325.2,8,5,15,1280788000,1
285.4,7,4,17,1126352000,1
451.2,8,5,11,1680221000,1
402.8,8,4,22,1643385000,1
109.8,3,2,13,479253000,0
183.4,4,3,24,683586000,0
154.3,4,2,28,637637000,0
382.2,8,6,19,1540651000,1
55.4,2,1,40,191832000,0
302.1,6,4,13,1219547000,1
390.7,8,5,21,1470102000,1
443.3,8,5,12,1671379000,1
197.4,5,3,28,686220000,0
417.8,8,5,13,1550382000,1
90.9,2,2,20,457223000,0
429.4,8,5,22,1702944000,1
98.6,2,1,19,383480000,0
222.8,5,4,9,992792000,0
406.8,8,5,10,1573557000,1
109.0,2,2,26,410847000,0
145.5,4,3,31,589143000,0
372.2,8,5,15,1454419000,1
371.2,8,6,24,1451156000,1
334.9,7,4,6,1370133000,1
359.2,7,5,12,1413196000,1
289.7,6,4,15,1170102000,1
155.8,4,3,20,687972000,0
199.0,5,3,20,815268000,0
123.5,3,1,26,420538000,0
457.9,8,5,9,1685401000,1
308.4,7,4,17,1218575000,1
224.4,5,3,18,875373000,0
252.5,6,4,11,1030933000,0
475.8,8,5,11,1798838000,1
110.5,3,3,21,592861000,0
309.7,7,5,15,1182180000,1
272.7,5,3,17,950092000,0
321.3,8,5,16,1310117000,1
48.3,1,1,21,180621000,0
441.2,8,4,21,1661063000,1
468.8,8,5,3,1819435000,1
300.0,6,4,11,1236785000,1
360.5,8,4,34,1294775000,1
464.3,8,5,4,1751708000,1
365.3,8,5,5,1477254000,1
110.2,1,1,27,418311000,0
305.1,8,5,2,1370025000,1
319.1,7,5,14,1317127000,1
235.1,5,3,33,884765000,0
378.8,8,5,3,1465090000,1
469.8,8,5,1,1774967000,1
465.8,8,6,1,1782888000,1
247.4,5,3,24,974166000,0
92.1,1,1,30,331285000,0
493.0,8,5,7,1803036000,1
425.9,8,6,18,1628264000,1
97.3,2,1,32,389850000,0
463.6,8,6,24,1772345000,1
440.2,8,5,11,1711229000,1
278.7,5,3,1,1108071000,1
312.0,6,4,10,1292589000,1
223.5,6,4,16,934822000,0
65.2,1,1,21,234269000,0
194.2,4,2,18,705231000,0
409.3,8,5,21,1577992000,1
42.1,1,1,33,80000000,0
193.4,5,4,18,797587000,0
223.2,6,4,26,893977000,0
287.2,6,3,19,1038639000,0
463.1,8,6,12,1737148000,1
199.3,4,3,26,805195000,0
199.6,5,3,20,810102000,0
379.3,8,5,29,1459340000,1
248.0,5,3,8,992386000,0
143.3,3,2,17,571728000,0
248.1,5,3,17,1016849000,0
104.8,2,1,25,393914000,0
121.1,2,1,30,364900000,0
269.2,6,4,17,1141796000,1
232.7,5,3,8,946305000,0
460.8,8,5,18,1711044000,1
206.7,5,4,24,780037000,0
307.1,6,4,3,1235536000,1
330.8,7,5,16,1302287000,1
46.0,1,1,13,277037000,0
345.2,7,4,10,1328074000,1
